Region,Year,survey
Dry Tortugas,1999,x
Dry Tortugas,2000,x
Dry Tortugas,2004,x
Dry Tortugas,2006,x
Dry Tortugas,2008,x
Dry Tortugas,2010,x
Dry Tortugas,2012,x
Dry Tortugas,2014,x
Dry Tortugas,2016,x
Dry Tortugas,2018,x
Dry Tortugas,2021,x
Dry Tortugas,2023,x
Dry Tortugas,2024,x
Florida Keys,1999,x
Florida Keys,2000,x
Florida Keys,2001,x
Florida Keys,2002,x
Florida Keys,2003,x
Florida Keys,2004,x
Florida Keys,2005,x
Florida Keys,2006,x
Florida Keys,2007,x
Florida Keys,2008,x
Florida Keys,2009,x
Florida Keys,2010,x
Florida Keys,2011,x
Florida Keys,2012,x
Florida Keys,2014,x
Florida Keys,2016,x
Florida Keys,2018,x
Florida Keys,2022,x
Florida Keys,2024,x
S.E. Florida,2013,x
S.E. Florida,2014,x
S.E. Florida,2015,x
S.E. Florida,2016,x
S.E. Florida,2018,x
S.E. Florida,2021,x
S.E. Florida,2022,x
S.E. Florida,2024,x
Flower Gardens,2018,x
Flower Gardens,2022,x
Flower Gardens,2023,x
Flower Gardens,2024,x
Puerto Rico,2016,x
Puerto Rico,2019,x
Puerto Rico,2021,x
Puerto Rico,2023,x
St. Thomas/John,2017,x
St. Thomas/John,2019,x
St. Thomas/John,2021,x
St. Thomas/John,2023,x
St. Croix,2017,x
St. Croix,2019,x
St. Croix,2021,x
St. Croix,2023,x
